2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:53 - Mensaje recibido: {'move': 1, 'timestamp': 1742742113979}
2025-03-23 15:01:53 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:54 - Mensaje recibido: {'move': 1, 'timestamp': 1742742114025}
2025-03-23 15:01:54 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:54 - Mensaje recibido: {'move': 1, 'timestamp': 1742742114057}
2025-03-23 15:01:54 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:54 - Mensaje recibido: {'move': 1, 'timestamp': 1742742114087}
2025-03-23 15:01:54 - Movimiento reenviado a otro jugador: 1
2025-03-23 15:01:54 - Mensaje recibido: {'move': 0, 'timestamp': 1742742114099}
2025-03-23 15:01:54 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:01:55 - Mensaje recibido: {'move': -1, 'timestamp': 1742742115364}
2025-03-23 15:01:55 - Movimiento reenviado a otro jugador: -1
2025-03-23 15:01:55 - Mensaje recibido: {'move': 0, 'timestamp': 1742742115752}
2025-03-23 15:01:55 - Movimiento reenviado a otro jugador: 0
2025-03-23 15:07:46 - Jugador desconectado, total: 1
2025-03-23 15:07:46 - Jugador desconectado, total: 0
2025-03-23 15:21:44 - Jugador conectado: first, total: 1
2025-03-23 15:22:11 - Jugador conectado: second, total: 2
2025-03-23 15:25:24 - Jugador desconectado, total: 1
2025-03-23 15:25:25 - Jugador conectado: second, total: 2
2025-03-23 15:25:29 - Mensaje recibido: {'move': 0, 'timestamp': 1742743529007}
2025-03-23 15:25:29 - Movimiento reenviado: 0
2025-03-23 15:25:29 - Mensaje recibido: {'move': 0, 'timestamp': 1742743529071}
2025-03-23 15:25:29 - Movimiento reenviado: 0
2025-03-23 15:25:29 - Mensaje recibido: {'move': 0, 'timestamp': 1742743529363}
2025-03-23 15:25:29 - Movimiento reenviado: 0
2025-03-23 15:25:29 - Mensaje recibido: {'move': 0, 'timestamp': 1742743529438}
2025-03-23 15:25:29 - Movimiento reenviado: 0
2025-03-23 15:25:32 - Jugador desconectado, total: 1
2025-03-23 15:25:33 - Jugador conectado: second, total: 2
2025-03-23 15:25:37 - Jugador desconectado, total: 1
2025-03-23 15:25:39 - Jugador desconectado, total: 0
2025-03-23 15:25:40 - Jugador conectado: first, total: 1
2025-03-23 15:25:49 - Jugador conectado: second, total: 2
2025-03-23 15:25:55 - Mensaje recibido: {'move': 0, 'timestamp': 1742743555686}
2025-03-23 15:25:55 - Movimiento reenviado: 0
2025-03-23 15:25:55 - Mensaje recibido: {'move': 0, 'timestamp': 1742743555741}
2025-03-23 15:25:55 - Movimiento reenviado: 0
2025-03-23 15:25:58 - Mensaje recibido: {'move': -1, 'timestamp': 1742743558610}
2025-03-23 15:25:58 - Movimiento reenviado: -1
